title,genre,console,year,month,total_sales
Monster Hunter: World,Action,XOne,2018,1,0.93
Minecraft,Sandbox,NS,2018,6,1.89
Far Cry 5,Action,PS4,2018,3,3.95
Assassin's Creed Odyssey,Action-Adventure,PS4,2018,10,3.18
Far Cry 5,Action,XOne,2018,3,1.78
Assassin's Creed Odyssey,Action-Adventure,XOne,2018,10,1.39
The Crew 2,Racing,PS4,2018,6,0.82
NBA 2K19,Sports,PS4,2018,9,2.63
NBA 2K19,Sports,XOne,2018,9,1.74
WWE 2K19,Fighting,PS4,2018,10,0.98
Madden NFL 19,Sports,PS4,2018,8,2.21
Madden NFL 19,Sports,XOne,2018,8,1.51
EA Sports UFC 3,Sports,PS4,2018,2,0.97
NHL 19,Sports,PS4,2018,9,0.43
Call of Duty: Black Ops IIII,Shooter,PS4,2018,10,9.32
Call of Duty: Black Ops IIII,Shooter,XOne,2018,10,4.85
Spyro Reignited Trilogy,Platform,PS4,2018,11,2.17
Crash Bandicoot N. Sane Trilogy,Platform,NS,2018,6,1.11
F1 2018,Racing,PS4,2018,8,0.53
Kingdom Come: Deliverance,Role-Playing,PS4,2018,2,0.56
Dragon Quest XI: Echoes of an Elusive Age,Role-Playing,PS4,2018,9,2.04
Shadow of the Tomb Raider,Action-Adventure,PS4,2018,9,1.74
Just Cause 4,Action-Adventure,PS4,2018,12,0.56
Red Dead Redemption 2,Action-Adventure,PS4,2018,10,13.94
Red Dead Redemption 2,Action-Adventure,XOne,2018,10,5.77
FIFA 19,Sports,PS4,2018,9,9.15
FIFA 19,Sports,XOne,2018,9,2.22
Battlefield V,Shooter,PS4,2018,11,2.22
Battlefield V,Shooter,XOne,2018,11,1.55
A Way Out,Action,PS4,2018,3,0.48
Forza Horizon 4,Racing,XOne,2018,10,1.84
Sea of Thieves,Action-Adventure,XOne,2018,3,0.96
Fallout 76,Role-Playing,PS4,2018,11,1.32
Fallout 76,Role-Playing,XOne,2018,11,0.93
Ni no Kuni II: Revenant Kingdom,Role-Playing,PS4,2018,3,0.89
Jurassic World Evolution,Simulation,PS4,2018,7,0.47
Shadow of the Colossus,Action-Adventure,PS4,2018,2,1.2
MLB The Show 18,Sports,PS4,2018,3,1.06
Astro Bot Rescue Mission,Platform,PS4,2018,10,0.71
LEGO The Incredibles,Action,PS4,2018,6,0.53
Hitman 2,Action-Adventure,PS4,2018,11,0.51
LEGO DC Super-Villains,Action-Adventure,PS4,2018,10,0.46
Ketsui Deathtiny: Kizuna Jigoku Tachi,Action,PS4,2018,11,0.01
Memories Off: Innocent File,Visual Novel,NS,2018,10,0.0
Undertale,Role-Playing,NS,2018,9,0.02
Marooners,Party,XOne,2018,2,
Marooners,Party,PS4,2018,2,
Daitoshokan no Hitsujikai: Library Party,Visual Novel,NS,2018,7,0.0
Yakuza 3,Action-Adventure,PS4,2018,8,0.05
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,Action,PS4,2018,2,0.03
Border Break,Action-Adventure,PS4,2018,8,0.02
Yakuza 6: The Song of Life,Adventure,PS4,2018,4,
Phantasy Star Online 2: Cloud,MMO,NS,2018,4,
SEGA Ages: Sonic the Hedgehog,Platform,NS,2018,9,
SEGA Ages: Phantasy Star,Role-Playing,NS,2018,12,
Valkyria Chronicles,Strategy,NS,2018,10,
Maitetsu: Pure Station,Visual Novel,PS4,2018,7,0.01
Fighting EX Layer,Fighting,PS4,2018,6,
Next Up Hero,Action,XOne,2018,6,
Next Up Hero,Action,PS4,2018,6,
InnerSpace,Adventure,PS4,2018,1,
InnerSpace,Adventure,XOne,2018,1,
Roller Coaster Tycoon Joyride,Action,PS4,2018,12,
RollerCoaster Tycoon Adventures,Simulation,NS,2018,12,
Xeodrifter,Platform,NS,2018,2,
Totes the Goat,Puzzle,NS,2018,3,
Defoliation,Puzzle,NS,2018,5,
Night In The Woods,Adventure,NS,2018,2,
Saiaku Naru Saiyaku Ningen ni Sasagu,Visual Novel,PS4,2018,8,0.01
Antiquia Lost,Role-Playing,PS4,2018,7,
Asdivine Hearts II,Role-Playing,XOne,2018,12,
Dragon Sinker,Role-Playing,NS,2018,2,
Memories Off: Innocent File,Visual Novel,PS4,2018,3,0.01
Gal Gun 2,Simulation,PS4,2018,4,0.01
Valthirian Arc: Hero School Story,Role-Playing,NS,2018,10,
The Way Remastered,Adventure,NS,2018,4,
911 Operator,Strategy,NS,2018,10,
Tesla vs Lovecraft,Action,NS,2018,3,
Azkend 2: The World Beneath,Puzzle,NS,2018,1,
Syberia 3,Adventure,NS,2018,1,
Xenon Valkyrie+,Platform,PS4,2018,2,
Okami HD,Action,NS,2018,8,0.04
Mega Man X Legacy Collection 1+2,Platform,NS,2018,7,0.03
Mega Man X Legacy Collection 2,Platform,NS,2018,7,0.01
Capcom Beat 'Em Up Bundle,Fighting,NS,2018,9,0.01
Capcom Beat 'Em Up Bundle,Fighting,PS4,2018,9,0.01
Mega Man X Legacy Collection 1,Platform,PS4,2018,7,0.01
Mega Man X Legacy Collection 1,Platform,NS,2018,7,0.01
Mega Man X Legacy Collection 2,Platform,PS4,2018,7,0.01
Monster Hunter: World,Action,PS4,2018,1,
Biohazard 7: Resident Evil - Cloud Version,Action,NS,2018,5,
Onimusha Warlords,Action,XOne,2018,1,
Onimusha Warlords,Action,PS4,2018,1,
Capcom Beat 'Em Up Bundle,Fighting,XOne,2018,9,
Street Fighter V: Arcade Edition,Fighting,PS4,2018,1,
Doukoku Soshite... Doukoku Soshite...,Visual Novel,PS4,2018,4,0.01
Mutant Year Zero: Road to Eden Deluxe Edition,Role-Playing,NS,2018,12,
Mutant Year Zero: Road to Eden,Strategy,XOne,2018,12,
Mutant Year Zero: Road to Eden,Strategy,PS4,2018,12,
Jikkyou Powerful Pro Baseball 2018,Sports,PS4,2018,4,0.26
Mulaka,Action-Adventure,NS,2018,3,
Castle of Heart,Platform,NS,2018,3,
Horizon Chase Turbo,Racing,XOne,2018,11,
Horizon Chase Turbo,Racing,PS4,2018,5,
Horizon Chase Turbo,Racing,NS,2018,11,
Flat Heroes,Platform,NS,2018,8,
Lumines Remastered,Puzzle,NS,2018,5,
Get Even,Misc,PS4,2018,1,
Home Sweet Home (2017),Adventure,XOne,2018,10,
Nidhogg 2,Action,XOne,2018,7,
2064: Read Only Memories INTEGRAL,Adventure,NS,2018,7,
Save me Mr Tako: Tasukete Tako-San,Platform,NS,2018,10,
Redout,Racing,NS,2018,12,
Bomb Chicken,Action,NS,2018,7,
Poisoft Thud Card,Board Game,NS,2018,3,
Mugsters,Action,NS,2018,7,
AQUA KITTY UDX,Action,NS,2018,2,
Far Cry 3: Classic Edition,Action-Adventure,PS4,2018,7,0.01
Valiant Hearts: The Great War,Adventure,NS,2018,11,
Assassin's Creed Odyssey: Cloud Version,Action-Adventure,NS,2018,10,
Transference,Puzzle,PS4,2018,9,
Child of Light,Role-Playing,NS,2018,10,
South Park: The Stick of Truth,Role-Playing,NS,2018,9,
Brothers in Arms: Furious 4,Shooter,PS4,2018,12,
Brothers in Arms: Furious 4,Shooter,XOne,2018,12,
Steep,Sports,NS,2018,12,
99Vidas - Definitive Edition,Action,NS,2018,11,
Johnny Turbo's Arcade: Wizard Fire,Action,NS,2018,6,
Super Chariot,Platform,NS,2018,5,
Samurai Aces,Action,NS,2018,2,
SOL DIVIDE: Sword of Darkness,Action,NS,2018,3,
Strikers 1945 II,Action,NS,2018,1,
TENGAI,Action,NS,2018,3,
ZERO GUNNER 2,Action,NS,2018,1,
Hyper Light Drifter - Special Edition,Role-Playing,NS,2018,9,
Utawarerumono Zan,Action,PS4,2018,9,0.03
Bleed 2,Action,PS4,2018,2,
Bleed 2,Action,NS,2018,3,
The Aquatic Adventure of the Last Human,Action-Adventure,XOne,2018,1,
The Aquatic Adventure of the Last Human,Action-Adventure,PS4,2018,1,
Nefarious,Platform,NS,2018,9,
Slayaway Camp: Butcher's Cut,Puzzle,NS,2018,3,
Omega Strike,Shooter,PS4,2018,6,
Paranautical Activity,Shooter,NS,2018,6,
Black Hole,Action,NS,2018,2,
"Nora, Princess, and Stray Cat",Visual Novel,NS,2018,10,0.0
"Nora, Princess, and Stray Cat",Visual Novel,PS4,2018,10,0.0
Draw a Stickman: EPIC 2,Adventure,NS,2018,1,
A Robot Named Fight!,Platform,NS,2018,4,
My Memory of Us,Adventure,XOne,2018,10,
My Memory of Us,Adventure,PS4,2018,10,
Asterix and Obelix XXL2,Action-Adventure,XOne,2018,11,
Flashback,Platform,XOne,2018,11,
Gear.Club Unlimited 2,Racing,NS,2018,12,
Bayonetta,Action,NS,2018,2,
Bayonetta 2,Action,NS,2018,2,
Pokémon Quest,Adventure,NS,2018,5,
Super Smash Bros. Ultimate,Fighting,NS,2018,12,
Nintendo Labo: Toy-Con 01 Variety Kit,Misc,NS,2018,4,
Super Mario Party,Party,NS,2018,10,
Donkey Kong Country: Tropical Freeze,Platform,NS,2018,5,
Kirby Star Allies,Platform,NS,2018,3,
Captain Toad: Treasure Tracker,Puzzle,NS,2018,7,
"Pokémon: Let's Go, Pikachu/Eevee",Role-Playing,NS,2018,11,
Octopath Traveler,Role-Playing,NS,2018,7,
Mario Tennis Aces,Sports,NS,2018,6,
AWAY: Journey to the Unexpected,Action-Adventure,NS,2018,12,
INSIDE,Adventure,NS,2018,6,
Bad North,Action,NS,2018,8,
Dandara,Action,NS,2018,2,
Kingdom Two Crowns,Strategy,NS,2018,12,
N.E.R.O.: Nothing Ever Remains Obscure,Adventure,PS4,2018,10,
8-Bit Armies,Strategy,NS,2018,9,
BINGO for Nintendo Switch,Party,NS,2018,3,
Rally Racers,Racing,NS,2018,1,
Paper Wars: Cannon Fodder Devastated,Action,NS,2018,3,
ABZU,Adventure,NS,2018,11,
Last Day of June,Adventure,NS,2018,3,
Utawarerumono: Chiriyukusha e no Komoriuta,Role-Playing,PS4,2018,4,0.03
Super Meat Boy,Platform,NS,2018,1,
Pizza Titan Ultra,Action,PS4,2018,8,
Metal!,Misc,NS,2018,2,
Higurashi no Naku Koro ni Hou,Visual Novel,NS,2018,7,0.02
Tonari ni Kanojo no Iru Shiawase: Winter Guest,Adventure,PS4,2018,6,0.0
Boku to Nurse no Kenshuu Nisshi,Visual Novel,PS4,2018,8,0.0
D.S.: Dal Segno,Visual Novel,PS4,2018,3,
Floral Flowlove,Visual Novel,PS4,2018,8,
Johnny Turbo's Arcade: Bad Dudes,Action,NS,2018,3,
Johnny Turbo's Arcade: Gate of Doom,Action,NS,2018,2,
Guilt Battle Arena,Party,NS,2018,3,
No Heroes Here,Party,NS,2018,6,
Senran Kagura: Peach and Reflexions Limited Double Pack,Misc,NS,2018,12,0.02
Gekido Kintaro's Revenge,Action,NS,2018,3,
Clannad,Visual Novel,PS4,2018,6,0.0
Island,Adventure,PS4,2018,6,0.0
The Three Kingdoms Love Story ~ The Art of Otome!,Visual Novel,NS,2018,11,
Farm Expert 2018,Simulation,NS,2018,3,
Baseball Riot,Puzzle,NS,2018,1,
Spyro + Crash Remastered Game Bundle,Misc,PS4,2018,12,
Spyro + Crash Remastered Game Bundle,Misc,XOne,2018,12,
Pool Panic,Adventure,NS,2018,12,
West of Loathing,Adventure,NS,2018,5,
Beat Saber,Music,PS4,2018,11,
10 Second Run RETURNS,Action,NS,2018,1,
Immortal Redneck,Shooter,NS,2018,5,
Immortal Redneck,Shooter,PS4,2018,2,
Immortal Redneck,Shooter,XOne,2018,2,
Trine Enchanted Edition,Action,NS,2018,11,
ATOMIK: RunGunJumpGun,Action,NS,2018,2,
Oh...Sir! The Hollywood Roast,Simulation,NS,2018,1,
Oh...Sir! The Insult Simulator,Simulation,NS,2018,1,
Little Triangle,Action,NS,2018,3,
Kona,Adventure,NS,2018,3,
Ashes Cricket,Sports,PS4,2018,11,
Winning Post 8 2018,Sports,PS4,2018,3,0.02
Winning Post 8 2018,Sports,NS,2018,3,0.01
Atelier: The Alchemist of Arland 1-2-3 DX,Role-Playing,PS4,2018,9,0.01
Atelier: The Alchemist of Arland 1-2-3 DX,Role-Playing,NS,2018,9,0.01
Warriors  Orochi 4,Action,NS,2018,10,
The Trail: Frontier Challenge,Simulation,NS,2018,3,
Floor Kids,Sports,NS,2018,1,
Fable Fortune,Board Game,XOne,2018,2,
Light Fingers,Action,NS,2018,9,
VOEZ,Music,NS,2018,8,
Moss,Adventure,PS4,2018,6,
Tales of the Tiny Planet,Puzzle,NS,2018,1,
Brawl,Platform,NS,2018,1,
Grid Mania,Puzzle,NS,2018,3,
Mad Carnage,Strategy,NS,2018,2,
World to the West,Action-Adventure,NS,2018,1,
Dustoff Heli Rescue 2,Action,NS,2018,1,
Animated Jigsaws: Beautiful Japanese Scenery,Puzzle,NS,2018,4,
Super One More Jump,Platform,NS,2018,1,
de Blob,Platform,NS,2018,6,
de Blob 2,Platform,PS4,2018,2,
Toki Tori,Puzzle,NS,2018,3,
Toki Tori 2+,Puzzle,NS,2018,2,
Superola and the Lost Burgers,Platform,NS,2018,2,
Shantae and the Pirate's Curse,Action,NS,2018,3,
WorldNeverland: Elnea Kingdom,Misc,NS,2018,3,0.0
Ace of Seafood,Action,NS,2018,2,
Firewatch,Adventure,NS,2018,12,
Pocket Rumble,Fighting,NS,2018,12,
The Mahjong,Puzzle,NS,2018,6,0.0
The Charming Empire,Adventure,NS,2018,3,
The Men of Yoshiwara: Kikuya,Adventure,NS,2018,2,
Enchanting Mahjong Match,Puzzle,NS,2018,3,
Pool BILLIARD,Sports,NS,2018,2,
Tennis,Sports,NS,2018,1,
Dead Island 2,Action,XOne,2018,1,
Joe Dever's Lone Wolf,Role-Playing,NS,2018,2,
Warp Shift,Puzzle,NS,2018,3,
Swim Out,Puzzle,NS,2018,3,
Dead Cells,Action,XOne,2018,8,
The Long Reach,Adventure,NS,2018,3,
Brawlout,Fighting,NS,2018,6,
Moonlighter,Role-Playing,NS,2018,11,
3D MiniGolf,Sports,NS,2018,2,
Ninjin: Clash of Carrots,Action,NS,2018,9,
Ninjin: Clash of Carrots,Action,PS4,2018,9,
Ninjin: Clash of Carrots,Action,XOne,2018,9,
SNK Heroines Tag Team Frenzy,Fighting,PS4,2018,9,0.02
The 25th Ward: The Silver Case,Visual Novel,PS4,2018,3,
Membrane,Puzzle,NS,2018,2,
Super Skull Smash GO! 2 Turbo,Platform,PS4,2018,7,
Outlast II,Action,NS,2018,3,
Outlast: Bundle of Terror,Adventure,NS,2018,2,
Streets of Red: Devil's Dare Deluxe,Action,NS,2018,4,
Dragon Quest X: All in One Package Ver.1-4,MMO,NS,2018,7,0.03
Lost Sphear,Role-Playing,PS4,2018,1,0.02
Dragon Quest X: All in One Package Ver.1-4,MMO,PS4,2018,7,0.01
Million Arthur: Arcana Blood,Fighting,PS4,2018,11,0.01
Life is Strange 2,Adventure,PS4,2018,9,
Life is Strange 2,Adventure,XOne,2018,9,
Forgotton Anne,Action-Adventure,PS4,2018,5,
Fear Effect Sedna,Role-Playing,NS,2018,3,
Final Fantasy XV Multiplayer: Comrades,Role-Playing,XOne,2018,12,
Final Fantasy XV Multiplayer: Comrades,Role-Playing,PS4,2018,12,
Final Fantasy XV Pocket Edition HD,Role-Playing,PS4,2018,9,
Final Fantasy XV Pocket Edition HD,Role-Playing,NS,2018,9,
Final Fantasy XV Pocket Edition HD,Role-Playing,XOne,2018,9,
NieR: Automata,Role-Playing,XOne,2018,6,
World of Final Fantasy Maxima,Role-Playing,PS4,2018,11,
World of Final Fantasy Maxima,Role-Playing,NS,2018,11,
Hollow Knight,Action-Adventure,NS,2018,6,
Hollow Knight,Action-Adventure,PS4,2018,9,
R-Type Dimensions EX,Shooter,NS,2018,11,
R-Type Dimensions EX,Shooter,PS4,2018,12,
Banner Saga 3,Role-Playing,NS,2018,7,
Pillars of Eternity II: Deadfire,Role-Playing,NS,2018,12,
The Banner Saga,Strategy,NS,2018,5,
The Banner Saga 2,Strategy,NS,2018,6,
The Banner Saga 3,Strategy,NS,2018,7,
Senran Kagura Reflexions,Adventure,NS,2018,9,
Subsurface Circular,Puzzle,NS,2018,3,
Light Fall,Platform,NS,2018,5,
Old Man's Journey,Puzzle,NS,2018,2,
Owlboy,Platform,XOne,2018,2,
Happy Manager: Shiawase Zhuang no Kanrinin San,Simulation,PS4,2018,1,0.01
Escape Trick: 35 Fateful Enigmas,Adventure,NS,2018,2,
The Men of Yoshiwara: Ohgiya,Adventure,NS,2018,3,
Earth Defense Force 5,Shooter,PS4,2018,12,
Fe,Adventure,NS,2018,2,
Freedom Planet,Platform,NS,2018,8,
Runbow,Platform,NS,2018,6,
Bridge Constructor Portal,Simulation,NS,2018,2,
Nil Admirari no Tenbin: Irodori Nadeshiko,Visual Novel,NS,2018,9,0.01
Cendrillon palikA,Visual Novel,NS,2018,10,0.0
Hakuoki: Shinkai - Fuukaden,Visual Novel,NS,2018,9,0.0
Gal*Gunvolt Burst,Action,PS4,2018,3,
Bloodstained: Curse of the Moon,Platform,NS,2018,5,
Realpolitiks,Simulation,NS,2018,8,
Shadow Bug,Platform,NS,2018,3,
Fantasy Strike,Fighting,NS,2018,7,
Nuclien,Puzzle,NS,2018,1,
Into the Breach,Strategy,NS,2018,8,
Pit People,Strategy,XOne,2018,3,
Red Goddess,Platform,XOne,2018,1,
Desert Child,Role-Playing,NS,2018,12,
Nightmare Boy,Action,NS,2018,1,
Everspace,Shooter,PS4,2018,11,
Mary Skelter: Nightmares 2,Role-Playing,PS4,2018,7,0.03
Hyperdimension Neptunia Re;Birth1 Plus,Role-Playing,PS4,2018,5,0.01
The Swindle,Platform,NS,2018,10,
Bomber Crew,Simulation,XOne,2018,7,
Tachyon Project,Action,NS,2018,1,
Super Toy Cars,Racing,NS,2018,3,
Grand Prix Rock 'N Racing,Racing,NS,2018,1,
OPUS: Rocket of Whispers,Adventure,NS,2018,3,
SubaraCity,Puzzle,NS,2018,8,
Ambition of the Slimes,Strategy,NS,2018,1,
Aegis Defenders,Action,NS,2018,2,
Wandersong,Adventure,NS,2018,9,
Dust: An Elysian Tail,Platform,NS,2018,9,
The Jackbox Party Pack 5,Party,NS,2018,10,
Shadows: Awakening,Role-Playing,PS4,2018,9,
The Fall Part 2: Unbound,Action-Adventure,NS,2018,2,
ChromaGun,Shooter,NS,2018,1,
Spot The Difference: Ultimate Edition,Action,NS,2018,2,
Air Hockey,Sports,NS,2018,2,
POOL,Sports,NS,2018,2,
Nekopara,Visual Novel,NS,2018,12,
One Eyed Kutkh,Adventure,NS,2018,3,
Alteric,Platform,NS,2018,3,
Energy Balance,Puzzle,NS,2018,1,
Metropolis: Lux Obscura,Puzzle,NS,2018,4,
Spiral Splatter,Puzzle,NS,2018,3,
Mercenary Kings Reloaded,Action,NS,2018,2,
Flinthook,Platform,NS,2018,3,
Moonlighter,Role-Playing,XOne,2018,5,
Radiation Island,Adventure,NS,2018,2,
Just Shapes & Beats,Music,NS,2018,7,
Enigmatis 3: The Shadow Of Karkhala,Puzzle,PS4,2018,4,
Superbrothers: Sword & Sworcery EP,Adventure,NS,2018,10,
Below,Action-Adventure,XOne,2018,12,
Wulverblade,Action,XOne,2018,1,
H1Z1: Battle Royale,Shooter,PS4,2018,5,
Paladins,Shooter,NS,2018,6,
Neonwall,Action,NS,2018,3,
God Wars: Nihon Shinwa Taisen,Role-Playing,PS4,2018,6,0.01
Sausage Sports Club,Platform,NS,2018,9,
Everspace,MMO,NS,2018,12,
Neo Atlas 1469,Simulation,NS,2018,4,0.01
Packet Queen #,Puzzle,NS,2018,3,
The Walking Dead - A Telltale Series - The Final Season,Adventure,NS,2018,8,
The Vanishing of Ethan Carter,Adventure,XOne,2018,1,
Downward Spiral: Horus Station,Action-Adventure,PS4,2018,9,
Carcassonne,Board Game,NS,2018,12,
AO International Tennis,Sports,PS4,2018,5,
AO International Tennis,Sports,XOne,2018,5,
Fe,Action,XOne,2018,2,
Fe,Action,PS4,2018,2,
Unravel Two,Platform,XOne,2018,6,
Unravel Two,Platform,PS4,2018,6,
Unravel Yarny Bundle,Platform,XOne,2018,7,
Unravel Yarny Bundle,Platform,PS4,2018,7,
Bullet Girls: Phantasia,Action,PS4,2018,8,0.02
Vesta,Puzzle,XOne,2018,1,
Vesta,Puzzle,PS4,2018,1,
Vesta,Puzzle,NS,2018,1,
Pode,Adventure,NS,2018,5,
Sumikko Gurashi Atsumare Sumikko Town,Misc,NS,2018,10,0.03
Bombslinger,Action,NS,2018,4,
DragoDino,Adventure,NS,2018,4,
Steredenn: Binary Stars,Fighting,NS,2018,3,
Super Rocket Shootout,Party,NS,2018,3,
A Normal Lost Phone,Puzzle,NS,2018,3,
Twin Robots Ultimate Edition,Platform,NS,2018,2,
Super Destronaut DX,Shooter,NS,2018,7,
Super Destronaut DX,Shooter,XOne,2018,7,
Super Destronaut DX,Shooter,PS4,2018,7,
Blasters of the Universe,Shooter,PS4,2018,2,
Omensight,Action,PS4,2018,5,
Urban Trial Playground,Racing,NS,2018,4,
Furi,Action,NS,2018,1,
Garage,Action,NS,2018,5,
The Final Station,Action,NS,2018,2,
Clustertruck,Misc,NS,2018,3,
Aperion Cyberstorm,Shooter,NS,2018,2,
Kunio-kun: The World Classics Collection,Misc,PS4,2018,12,0.01
Kunio-kun: The World Classics Collection,Misc,NS,2018,12,0.01
Cube Creator X,Misc,NS,2018,4,0.01
Jake Hunter Detective Story: Prism of Eyes,Adventure,PS4,2018,8,0.01
Jake Hunter Detective Story: Prism of Eyes,Adventure,NS,2018,8,0.01
EAT BEAT DEADSPIKE-san,Music,NS,2018,3,
Gotcha Racing 2nd,Racing,NS,2018,5,
Damascus Gear: Operation Tokyo,Role-Playing,NS,2018,3,
Fantasy Hero: Unsigned Legacy,Role-Playing,NS,2018,1,
Of Mice and Sand: Revised,Strategy,NS,2018,1,
World End Syndrome,Visual Novel,PS4,2018,4,
Battle Princess Madelyn,Action-Adventure,NS,2018,12,
Super Daryl Deluxe,Action,NS,2018,4,
Broforce,Action,NS,2018,9,
GRIS,Adventure,NS,2018,12,
Minit,Adventure,PS4,2018,4,
Crossing Souls,Action-Adventure,PS4,2018,2,
The Messenger,Platform,NS,2018,8,
The Talos Principle,Puzzle,XOne,2018,8,
Reigns: Kings & Queens,Role-Playing,NS,2018,5,
Pilot Sports,Sports,NS,2018,9,
Energy Invasion,Puzzle,NS,2018,1,
MotoGP 18,Racing,PS4,2018,6,
MotoGP 18,Racing,NS,2018,6,
MotoGP 18,Racing,XOne,2018,6,
Animal Force,Party,PS4,2018,7,
Salary Man Escape VR,Puzzle,PS4,2018,6,
Darkest Dungeon,Role-Playing,XOne,2018,2,
Spartan,Platform,NS,2018,4,
Earthlock,Role-Playing,NS,2018,3,
Transistor,Action-Adventure,NS,2018,11,
PriPara: All Idol Perfect Stage,Misc,NS,2018,3,
The Gardens Between,Puzzle,NS,2018,9,
The Gardens Between,Puzzle,PS4,2018,9,
Spy Chameleon - RGB Agent,Puzzle,NS,2018,3,
Moorhuhn Knights & Castles,Strategy,NS,2018,1,
Next Up Hero,Action,NS,2018,4,
InnerSpace,Adventure,NS,2018,1,
Layers of Fear: Legacy,Adventure,NS,2018,2,
Space Dave,Action,NS,2018,1,
Shu,Platform,NS,2018,1,
ClusterPuck 99,Sports,NS,2018,3,
Monster Boy and the Cursed Kingdom,Platform,XOne,2018,11,
Beyblade Burst: Battle Zero,Role-Playing,NS,2018,10,0.02
WORKxWORK,Role-Playing,NS,2018,10,0.01
Yuuna and the Haunted Hot Springs: Steam Dungeon,Role-Playing,PS4,2018,11,0.01
Game Dev Story,Strategy,NS,2018,10,
Hellblade: Senua's Sacrifice,Action-Adventure,XOne,2018,12,
The Lion's Song,Adventure,NS,2018,7,
Earth Wars,Action,NS,2018,1,
Trailblazers,Racing,XOne,2018,5,
NBA Playgrounds,Sports,NS,2018,1,
Arcade Archives: Double Dragon,Fighting,NS,2018,1,
GRIP: Combat Racing,Racing,XOne,2018,11,
Super Robot Wars X,Strategy,PS4,2018,3,0.13
Pro Yakyuu Famista Evolution,Sports,NS,2018,8,0.12
Gintama Ranbu,Action,PS4,2018,1,0.06
Girls und Panzer: Dream Tank Match,Action,PS4,2018,2,0.06
SD Gundam G Generation Genesis,Strategy,NS,2018,4,0.04
Record of Grancrest War,Action-Adventure,PS4,2018,6,0.03
Kamen Rider: Climax Scramble Zi-O,Fighting,NS,2018,11,0.03
Cats Together,Simulation,NS,2018,11,0.02
Gotouchi Tetsudou for Nintendo Switch!!,Puzzle,NS,2018,2,0.02
Super Run For Money Tousouchuu & Sentouchuu,Action,NS,2018,11,0.02
Nari Kids Park: Hugtto! PreCure,Action,NS,2018,11,0.01
Billion Road,Board Game,NS,2018,11,0.01
Nari Kids Park: Ultraman R/B,Action,NS,2018,11,0.0
Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,Action,NS,2018,11,0.0
Naruto to Boruto: Shinobi Striker,Action,PS4,2018,8,
Naruto to Boruto: Shinobi Striker,Action,XOne,2018,8,
SoulCalibur VI,Fighting,PS4,2018,10,
Taiko no Tatsujin: Drum 'n' Fun!,Music,NS,2018,11,
Fallout Shelter,Simulation,NS,2018,6,
My Little Riding Champion,Sports,XOne,2018,11,
My Little Riding Champion,Sports,PS4,2018,11,
Premium Pool Arena,Sports,NS,2018,2,
Spacecats with Lasers,Action,NS,2018,2,
Skies of Fury DX,Simulation,NS,2018,4,
SteamWorld Dig 2,Platform,XOne,2018,11,
SteamWorld Dig: A Fistful of Dirt,Platform,NS,2018,2,
Mark of the Ninja: Remastered,Action,NS,2018,10,
