title,genre,console,year,month,total_sales
Quarantine Circular,Adventure,NS,2018,12,
Dragon Ball FighterZ,Fighting,PS4,2018,1,
Dragon Ball FighterZ,Fighting,XOne,2018,1,
The Room,Puzzle,NS,2018,10,
TorqueL: Physics Modified Edition,Action,NS,2018,2,
Angels of Death,Adventure,NS,2018,6,
20XX,Platform,NS,2018,7,
ACA NEOGEO AERO FIGHTERS 3,Action,NS,2018,3,
ACA NEOGEO GHOST PILOTS,Action,NS,2018,4,
ACA NEOGEO GHOST PILOTS,Action,PS4,2018,6,
ACA NEOGEO GHOST PILOTS,Action,XOne,2018,4,
ACA NEOGEO KING OF THE MONSTERS,Action,NS,2018,1,
ACA NEOGEO METAL SLUG 3,Action,PS4,2018,2,
ACA NEOGEO NINJA COMBAT,Action,NS,2018,5,
ACA NEOGEO NINJA COMBAT,Action,PS4,2018,6,
ACA NEOGEO NINJA COMBAT,Action,XOne,2018,5,
ACA NEOGEO PREHISTORIC ISLE 2,Action,NS,2018,8,
ACA NEOGEO PREHISTORIC ISLE 2,Action,XOne,2018,8,
ACA NEOGEO SENGOKU 2,Action,NS,2018,3,
ACA NEOGEO SENGOKU 3,Action,NS,2018,3,
ACA NEOGEO SENGOKU 3,Action,XOne,2018,3,
ACA NEOGEO SENGOKU 3,Action,PS4,2018,6,
ACA NEOGEO SHOCK TROOPERS,Action,XOne,2018,1,
ACA NEOGEO SHOCK TROOPERS,Action,PS4,2018,1,
ACA NEOGEO SHOCK TROOPERS 2nd Squad,Action,XOne,2018,3,
ACA NEOGEO SHOCK TROOPERS 2nd Squad,Action,PS4,2018,6,
ACA NEOGEO THE SUPER SPY,Action,NS,2018,7,
ACA NEOGEO THE SUPER SPY,Action,XOne,2018,7,
ACA NEOGEO TOP HUNTER RODDY & CATHY,Action,PS4,2018,1,
Arcade Archives: Kid Niki Radical Ninja,Action,NS,2018,1,
Arcade Archives: Moon Patrol,Action,NS,2018,3,
Arcade Archives: Star Force,Action,NS,2018,3,
ACA NEOGEO ART OF FIGHTING 2,Fighting,NS,2018,1,
ACA NEOGEO ART OF FIGHTING 3,Fighting,XOne,2018,7,
ACA NEOGEO FATAL FURY 3,Fighting,NS,2018,2,
