title,genre,console,year,month,total_sales
Yakuza Zero,Adventure,PS4,2017,1,0.65
Sonic Forces,Platform,PS4,2017,11,0.56
Persona 5,Role-Playing,PS4,2017,4,1.64
Marvel vs. Capcom: Infinite,Fighting,PS4,2017,9,0.7
Assassin's Creed Origins,Action,PS4,2017,10,4.06
Tom Clancy's Ghost Recon Wildlands,Shooter,PS4,2017,3,3.12
Assassin's Creed Origins,Action,XOne,2017,10,2.47
For Honor,Action,PS4,2017,2,1.75
Tom Clancy's Ghost Recon Wildlands,Shooter,XOne,2017,3,1.61
South Park: The Fractured But Whole,Role-Playing,PS4,2017,10,1.43
For Honor,Action,XOne,2017,2,0.87
NBA 2K18,Sports,PS4,2017,9,3.34
NBA 2K18,Sports,XOne,2017,9,2.02
WWE 2K18,Sports,PS4,2017,10,1.33
FIFA 18,Sports,PS4,2017,9,11.8
FIFA 18,Sports,XOne,2017,9,3.14
Madden NFL 18,Sports,PS4,2017,8,2.62
Madden NFL 18,Sports,XOne,2017,8,1.91
NHL 18,Sports,PS4,2017,9,0.57
Friday the 13th: The Game,Action,PS4,2017,10,0.48
Call of Duty: WWII,Shooter,PS4,2017,11,13.4
Call of Duty: WWII,Shooter,XOne,2017,11,6.23
Crash Bandicoot N. Sane Trilogy,Platform,PS4,2017,6,4.83
Destiny 2,Shooter,PS4,2017,9,4.14
Destiny 2,Shooter,XOne,2017,9,2.35
Call of Duty: Modern Warfare Remastered,Shooter,PS4,2017,6,0.58
F1 2016,Racing,PS4,2017,1,0.78
F1 2017,Racing,PS4,2017,8,0.62
Hitman,Action,PS4,2017,1,0.78
L.A. Noire,Adventure,PS4,2017,11,0.6
Star Wars Battlefront II (2017),Shooter,PS4,2017,11,4.53
Need for Speed: Payback,Racing,PS4,2017,11,2.18
Star Wars Battlefront II (2017),Shooter,XOne,2017,11,1.92
Mass Effect: Andromeda,Role-Playing,PS4,2017,3,1.49
The Sims 4,Simulation,PS4,2017,11,1.39
Fortnite,Action,PS4,2017,7,0.89
Fortnite,Action,XOne,2017,7,0.77
PlayerUnknown's Battlegrounds,Shooter,XOne,2017,12,2.17
Forza Motorsport 7,Racing,XOne,2017,10,1.52
Wolfenstein II: The New Colossus,Shooter,PS4,2017,10,1.36
The Elder Scrolls V: Skyrim,Role-Playing,NS,2017,11,1.15
The Elder Scrolls V: Skyrim VR,Role-Playing,PS4,2017,11,1.13
The Evil Within 2,Action,PS4,2017,10,1.05
Prey (2017),Shooter,PS4,2017,5,1.04
DOOM VFR,Shooter,PS4,2017,12,0.56
Project CARS 2,Racing,PS4,2017,9,0.55
Sniper Elite 4,Shooter,PS4,2017,2,0.55
Pro Evolution Soccer 2018,Sports,PS4,2017,9,0.75
MLB The Show 17,Sports,PS4,2017,3,1.16
WipEout Omega Collection,Racing,PS4,2017,6,0.72
Knowledge is Power,Party,PS4,2017,10,0.61
Hidden Agenda,Adventure,PS4,2017,10,0.59
Middle-Earth: Shadow of War,Action,PS4,2017,10,2.04
Injustice 2,Fighting,PS4,2017,5,1.72
Middle-Earth: Shadow of War,Action,XOne,2017,10,1.15
LEGO Worlds,Misc,PS4,2017,3,1.14
LEGO Marvel Super Heroes 2,Action,PS4,2017,11,1.11
Injustice 2,Fighting,XOne,2017,5,0.89
LEGO City Undercover,Platform,PS4,2017,4,0.75
The Lego Ninjago Movie Videogame,Action,PS4,2017,9,0.57
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,Visual Novel,PS4,2017,3,0.02
New Game! The Challenge Stage!,Adventure,PS4,2017,1,0.01
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,Adventure,PS4,2017,3,0.01
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,Adventure,PS4,2017,10,0.01
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,Adventure,PS4,2017,9,0.01
Occultic;Nine,Adventure,PS4,2017,11,0.01
Chaos;Child: Love Chu Chu!!,Visual Novel,PS4,2017,3,0.01
Hulu,Misc,NS,2017,11,
Hatsune Miku: Project Diva Future Tone DX,Misc,PS4,2017,11,0.05
Phantasy Star Online 2 Episode 4: Deluxe Package,Role-Playing,PS4,2017,4,0.05
Hatsune Miku: Project Diva Future Tone,Music,PS4,2017,1,
Puyo Puyo Tetris,Puzzle,NS,2017,4,
Levels+: Addictive Puzzle Game,Puzzle,NS,2017,7,
Rock of Ages II: Bigger and Boulder,Action,XOne,2017,1,
Rock of Ages II: Bigger and Boulder,Action,PS4,2017,1,
Mutant Mudds Collection,Platform,NS,2017,12,
Puzzle Box Maker,Puzzle,NS,2017,12,
Thumper,Music,NS,2017,5,
Night in the Woods,Adventure,PS4,2017,2,
Night In The Woods,Adventure,XOne,2017,12,
RXN: Raijin,Action,NS,2017,12,
Mom Hid My Game!,Puzzle,NS,2017,12,
Antiquia Lost,Role-Playing,NS,2017,11,
Revenant Saga,Role-Playing,NS,2017,10,
Yodanji,Role-Playing,NS,2017,12,
Phantom Breaker: Battle Grounds Overdrive,Action,NS,2017,12,
Sky Ride,Action,NS,2017,8,
Chaos;Child,Visual Novel,PS4,2017,10,0.02
Cat Quest,Role-Playing,PS4,2017,11,
Tallowmere,Action,NS,2017,11,
JYDGE,Action,NS,2017,10,
Neon Chrome,Action,NS,2017,10,
Time Recoil,Action,NS,2017,10,
King Oddball,Puzzle,NS,2017,10,
Spellspire,Puzzle,NS,2017,11,
Fallen Legion,Role-Playing,PS4,2017,7,
Fallen Legion: Flames of Rebellion,Role-Playing,PS4,2017,12,
Dragon's Dogma Online: Season 3,Role-Playing,PS4,2017,8,0.01
Resident Evil VII: Biohazard,Action,PS4,2017,1,
Resident Evil: Revelations Collection,Action,NS,2017,11,
Resident Evil VII: Biohazard,Action,XOne,2017,1,
Resident Evil: Revelations,Action,NS,2017,11,
Resident Evil: Revelations 2,Action,NS,2017,11,
Wonder Boy: The Dragon's Trap (Remake),Platform,XOne,2017,4,
Slime-san,Platform,NS,2017,8,
Unholy Heights,Simulation,NS,2017,12,
TINY METAL,Strategy,NS,2017,12,
TumbleSeed,Action-Adventure,NS,2017,5,
Akiba's Trip 2+A,Adventure,PS4,2017,2,0.01
A-Train Exp.,Simulation,PS4,2017,12,0.02
Puzzle Adventure Blockle,Puzzle,NS,2017,8,
Nidhogg 2,Action,PS4,2017,9,
2064: Read Only Memories,Adventure,PS4,2017,1,
2064: Read Only Memories,Adventure,XOne,2017,1,
Wild Guns Reloaded,Shooter,PS4,2017,1,
Knight Terrors,Platform,NS,2017,10,
VVVVVV,Platform,NS,2017,11,
The Way,Adventure,XOne,2017,4,
Vroom in the Night Sky,Racing,NS,2017,4,
Fast RMX,Racing,NS,2017,3,
UNO,Board Game,NS,2017,11,
Mario + Rabbids: Kingdom Battle,Strategy,NS,2017,8,
What Remains of Edith Finch,Adventure,PS4,2017,4,
Without Memory,Misc,PS4,2017,1,
Momodora: Reverie Under the Moonlight,Platform,PS4,2017,3,
Strikers 1945,Action,NS,2017,8,
GUNBARICH,Puzzle,NS,2017,8,
GUNBIRD,Shooter,NS,2017,12,
Bloody Zombies,Action,NS,2017,12,
Qbics Paint,Puzzle,NS,2017,7,
Bulb Boy,Adventure,NS,2017,7,
Bleed,Action,NS,2017,12,
Bleed,Action,PS4,2017,8,
Slain: Back From Hell,Action,NS,2017,12,
The Coma: Recut,Adventure,NS,2017,11,
Letter Quest Remastered,Puzzle,NS,2017,11,
Project Nimbus: Code Mirai,Action,PS4,2017,11,
Morphite,Action,NS,2017,11,
The Deer God,Adventure,NS,2017,12,
