title,genre,console,year,month,total_sales
One Piece: Pirate Warriors 3,Action,PS4,2015,8,
Toukiden: The Age of Demons,Action,PS4,2015,3,
Uncharted Waters Online: Gran Atlas,Role-Playing,PS4,2015,9,
Wander,Role-Playing,PS4,2015,6,
Two Brothers,Role-Playing,PS4,2015,1,
#killallzombies,Action,PS4,2015,1,
Overlord: Fellowship of Evil,Action,PS4,2015,10,
Overlord: Fellowship of Evil,Action,XOne,2015,10,
Natsuiro High School: Seishun Hakusho,Action,PS4,2015,6,0.02
Tina's Toy Factory,Puzzle,PS4,2015,8,
Disgaea 5: Alliance of Vengeance,Role-Playing,PS4,2015,10,
Let's Sing 2016,Music,XOne,2015,10,
Rise of the Tomb Raider,Adventure,XOne,2015,11,
Final Fantasy Type-0 HD,Role-Playing,PS4,2015,3,
Final Fantasy VII,Role-Playing,PS4,2015,12,
Afro Samurai 2,Action,XOne,2015,10,
Afro Samurai 2,Action,PS4,2015,10,
Shantae: Risky's Revenge Director's Cut,Platform,PS4,2015,6,
Earth Defense Force 4.1: The Shadow of New Despair,Shooter,PS4,2015,12,0.11
KickBeat,Misc,XOne,2015,1,
KickBeat,Misc,PS4,2015,1,
EarthNight,Action,PS4,2015,1,
Pneuma: Breath of Life,Puzzle,XOne,2015,2,
Pneuma: Breath of Life,Puzzle,PS4,2015,7,
Soul Saga,Misc,PS4,2015,1,
Chariot,Adventure,XOne,2015,1,
Gal*Gunvolt,Action,PS4,2015,8,
Kung Fu Panda: Showdown of Legendary Legends,Action,PS4,2015,12,
forma.8,Misc,PS4,2015,1,
Broken Age,Adventure,PS4,2015,4,
The Book of Unwritten Tales 2,Adventure,XOne,2015,9,
Metal Slug 3,Shooter,PS4,2015,1,
Castle Crashers Remastered,Action,XOne,2015,9,
Red Goddess: Inner World,Platform,PS4,2015,6,
I Am Bread,Simulation,PS4,2015,8,
OlliOlli,Sports,XOne,2015,3,
Chasm,Misc,PS4,2015,1,
Tachyon Project,Action,XOne,2015,7,
PlanetSide 2,Shooter,PS4,2015,6,
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,Action,PS4,2015,7,0.0
The Vanishing of Ethan Carter,Adventure,PS4,2015,7,
Apotheon,Platform,PS4,2015,1,
Monochroma,Misc,PS4,2015,1,
Carmageddon: Reincarnation,Misc,XOne,2015,5,
Aztez,Misc,PS4,2015,1,
Aztez,Misc,XOne,2015,1,
The Escapists,Action,XOne,2015,2,
The Escapists,Action,PS4,2015,6,
The Escapists: The Walking Dead,Action,XOne,2015,9,
Beyond Eyes,Adventure,PS4,2015,9,
Beyond Eyes,Adventure,XOne,2015,8,
LA Cops,Shooter,XOne,2015,3,
Worms Battlegrounds,Strategy,XOne,2015,1,
No Time to Explain,Action,XOne,2015,7,
Kodoku,Misc,PS4,2015,4,
Hotline Miami,Action,PS4,2015,1,
Titan Souls,Action,PS4,2015,4,
Hotline Miami 2: Wrong Number,Misc,PS4,2015,3,
Not a Hero,Misc,XOne,2015,5,
Not a Hero,Misc,PS4,2015,5,
Hatoful Boyfriend,Visual Novel,PS4,2015,7,
SOMA (2015),Misc,PS4,2015,9,
MechRunner,Misc,PS4,2015,1,
