title,genre,console,year,month,total_sales
Assassin's Creed IV: Black Flag,Action-Adventure,PS4,2013,11,3.19
Assassin's Creed IV: Black Flag,Action,XOne,2013,11,2.32
Just Dance 2014,Music,PS4,2013,11,0.47
NBA 2K14,Sports,PS4,2013,11,1.54
NBA 2K14,Sports,XOne,2013,11,0.94
FIFA 14,Sports,PS4,2013,11,3.43
FIFA 14,Sports,XOne,2013,11,1.31
Madden NFL 25,Sports,PS4,2013,11,0.96
Madden NFL 25,Sports,XOne,2013,11,0.83
Call of Duty: Ghosts,Shooter,PS4,2013,11,4.17
Call of Duty: Ghosts,Shooter,XOne,2013,11,3.07
Skylanders SWAP Force,Misc,PS4,2013,11,0.44
Battlefield 4,Shooter,PS4,2013,11,3.94
Need for Speed Rivals,Racing,PS4,2013,11,2.17
Battlefield 4,Shooter,XOne,2013,11,2.09
Forza Motorsport 5,Racing,XOne,2013,11,2.4
Lego Marvel Super Heroes,Action,PS4,2013,11,1.91
Lego Marvel Super Heroes,Action,XOne,2013,11,1.15
Injustice: Gods Among Us Ultimate Edition,Fighting,PS4,2013,11,0.98
Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,Misc,XOne,2013,12,
Tiny Brains,Puzzle,PS4,2013,12,
Trine 2: Complete Story,Platform,PS4,2013,11,
Basement Crawl,Misc,PS4,2013,11,
Peggle 2,Misc,XOne,2013,12,
Contrast,Misc,PS4,2013,11,
Warframe,Misc,PS4,2013,11,
The Pinball Arcade,Misc,PS4,2013,11,
Dead Rising 3,Action,XOne,2013,11,
Ryse: Son of Rome,Action,XOne,2013,11,
LocoCycle,Action,XOne,2013,11,
D4: Dark Dreams Don't Die,Adventure,XOne,2013,9,
Max: The Curse of Brotherhood,Action-Adventure,XOne,2013,12,
Killer Instinct Classic,Fighting,XOne,2013,11,
Xbox Fitness,Misc,XOne,2013,11,
Crimson Dragon,Shooter,XOne,2013,11,
Halo: Spartan Assault,Shooter,XOne,2013,12,
Powerstar Golf,Sports,XOne,2013,11,
DC Universe Online,MMO,PS4,2013,11,
Divekick,Misc,PS4,2013,11,
Blacklight: Retribution,Misc,PS4,2013,11,
flower,Adventure,PS4,2013,11,
Doki-Doki Universe,Misc,PS4,2013,12,
Sound Shapes,Misc,PS4,2013,11,
The Playroom,Party,PS4,2013,11,
Knack,Platform,PS4,2013,11,
Escape Plan,Puzzle,PS4,2013,12,
Killzone: Shadow Fall,Shooter,PS4,2013,11,
RESOGUN,Shooter,PS4,2013,11,
flOw,Simulation,PS4,2013,12,
Fighter Within,Fighting,XOne,2013,11,0.17
NBA Live 14,Sports,XOne,2013,11,0.24
Angry Birds: Star Wars,Puzzle,XOne,2013,11,0.16
Zumba Fitness: World Party,Misc,XOne,2013,11,0.24
Just Dance 2014,Music,XOne,2013,11,0.48
Angry Birds: Star Wars,Puzzle,PS4,2013,11,0.23
Zoo Tycoon (2013),Simulation,XOne,2013,11,0.48
NBA Live 14,Sports,PS4,2013,11,0.27
Putty Squad,Platform,PS4,2013,11,0.16
Skylanders SWAP Force,Misc,XOne,2013,11,0.35
Need for Speed Rivals,Racing,XOne,2013,11,0.7
