title,genre,console,year,month,total_sales
Street Fighter V,Fighting,PS4,2016,2,1.39
Tom Clancy's The Division,Shooter,PS4,2016,3,4.37
Watch Dogs 2,Action,PS4,2016,11,3.36
Far Cry: Primal,Action-Adventure,PS4,2016,2,2.73
Tom Clancy's The Division,Shooter,XOne,2016,3,2.59
Watch Dogs 2,Action,XOne,2016,11,1.35
Steep,Sports,PS4,2016,12,1.01
Far Cry: Primal,Action-Adventure,XOne,2016,2,1.0
Assassin's Creed The Ezio Collection,Action,PS4,2016,11,0.79
Rocksmith 2014,Music,PS4,2016,10,0.67
Mafia III,Action-Adventure,PS4,2016,10,2.87
WWE 2K17,Sports,PS4,2016,10,1.22
Mafia III,Action-Adventure,XOne,2016,10,1.11
BioShock: The Collection,Shooter,PS4,2016,9,0.86
Battleborn,Shooter,PS4,2016,5,0.48
NBA 2K17,Sports,PS4,2016,9,3.52
NBA 2K17,Sports,XOne,2016,9,2.04
Rocket League,Sports,PS4,2016,7,2.02
Rocket League,Sports,XOne,2016,7,1.38
Madden NFL 17,Sports,PS4,2016,8,3.28
Madden NFL 17,Sports,XOne,2016,8,2.44
EA Sports UFC 2,Sports,PS4,2016,3,1.31
NHL 17,Sports,PS4,2016,9,0.52
Call of Duty: Infinite Warfare,Shooter,PS4,2016,11,8.48
Call of Duty: Infinite Warfare,Shooter,XOne,2016,11,4.79
Destiny: The Collection,Shooter,PS4,2016,9,0.78
DiRT Rally,Racing,PS4,2016,4,0.51
No Man's Sky,Action-Adventure,PS4,2016,8,2.26
Final Fantasy XV,Role-Playing,PS4,2016,11,5.07
Rise of the Tomb Raider,Adventure,PS4,2016,10,2.07
Final Fantasy XV,Role-Playing,XOne,2016,11,1.14
Deus Ex: Mankind Divided,Role-Playing,PS4,2016,8,0.72
World of Final Fantasy,Role-Playing,PS4,2016,10,0.62
FIFA 17,Sports,PS4,2016,9,10.94
Battlefield 1,Shooter,PS4,2016,10,7.26
Battlefield 1,Shooter,XOne,2016,10,5.13
FIFA 17,Sports,XOne,2016,9,3.71
Titanfall 2,Shooter,PS4,2016,10,1.72
Titanfall 2,Shooter,XOne,2016,10,1.37
Plants vs. Zombies: Garden Warfare 2,Shooter,XOne,2016,2,0.86
Plants vs. Zombies: Garden Warfare 2,Shooter,PS4,2016,2,0.63
Gears of War 4,Shooter,XOne,2016,10,3.38
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,PS4,2016,10,3.36
Doom (2016),Shooter,PS4,2016,5,2.92
Dishonored 2,Action,PS4,2016,11,1.97
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,XOne,2016,10,1.83
Doom (2016),Shooter,XOne,2016,5,1.45
Dishonored 2,Action,XOne,2016,11,0.86
One Piece: Burning Blood,Fighting,PS4,2016,5,0.65
Overwatch,Shooter,PS4,2016,5,4.54
Overwatch,Shooter,XOne,2016,5,2.72
Farming Simulator 17,Simulation,PS4,2016,10,0.85
Pro Evolution Soccer 2017,Sports,PS4,2016,9,0.75
PlayStation VR Worlds,Misc,PS4,2016,10,2.16
The Last Guardian,Action-Adventure,PS4,2016,12,1.29
Until Dawn: Rush of Blood,Shooter,PS4,2016,10,0.85
