title,genre,console,year,month,total_sales
Alien: Isolation,Adventure,PS4,2014,10,1.09
Watch Dogs,Action-Adventure,PS4,2014,5,4.32
Assassin's Creed: Unity,Action,PS4,2014,11,4.14
Far Cry 4,Shooter,PS4,2014,11,4.06
Assassin's Creed: Unity,Action,XOne,2014,11,3.58
The Crew,Racing,PS4,2014,12,1.79
Far Cry 4,Shooter,XOne,2014,11,1.68
Watch Dogs,Action-Adventure,XOne,2014,5,1.64
Rayman Legends,Platform,PS4,2014,2,1.5
NBA 2K15,Sports,PS4,2014,10,2.49
NBA 2K15,Sports,XOne,2014,10,1.74
WWE 2K15,Sports,PS4,2014,11,1.16
Sniper Elite III,Shooter,PS4,2014,7,0.74
FIFA 15,Sports,PS4,2014,9,6.32
Madden NFL 15,Sports,PS4,2014,8,2.25
FIFA 15,Sports,XOne,2014,9,2.19
Madden NFL 15,Sports,XOne,2014,8,1.6
NHL 15,Sports,PS4,2014,9,0.62
Call of Duty: Advanced Warfare,Shooter,PS4,2014,11,7.53
Destiny,Shooter,PS4,2014,9,5.76
Call of Duty: Advanced Warfare,Shooter,XOne,2014,11,5.22
Destiny,Shooter,XOne,2014,9,3.41
The Amazing Spider-Man 2 (2014),Action-Adventure,PS4,2014,4,0.56
Skylanders: Trap Team,Platform,PS4,2014,10,0.52
METRO Redux,Shooter,PS4,2014,8,0.68
Tomb Raider: Definitive Edition,Action-Adventure,PS4,2014,1,1.51
Thief,Action,PS4,2014,2,0.85
Final Fantasy XIV: A Realm Reborn,MMO,PS4,2014,4,0.79
Grand Theft Auto V,Action,PS4,2014,11,19.39
Grand Theft Auto V,Action,XOne,2014,11,8.72
Titanfall,Shooter,XOne,2014,3,3.11
Dragon Age: Inquisition,Role-Playing,PS4,2014,11,2.34
EA Sports UFC,Fighting,PS4,2014,6,1.11
Dragon Age: Inquisition,Role-Playing,XOne,2014,11,0.99
Plants vs Zombies: Garden Warfare,Shooter,PS4,2014,8,0.66
Minecraft,Misc,XOne,2014,11,5.43
Halo: The Master Chief Collection,Shooter,XOne,2014,11,3.44
Forza Horizon 2,Racing,XOne,2014,9,1.46
Sunset Overdrive,Action,XOne,2014,10,1.16
The Evil Within,Action,PS4,2014,10,1.86
Wolfenstein: The New Order,Shooter,PS4,2014,5,1.61
Lords of the Fallen,Role-Playing,PS4,2014,10,0.55
Diablo III: Ultimate Evil Edition,Role-Playing,PS4,2014,8,2.82
Diablo III: Ultimate Evil Edition,Role-Playing,XOne,2014,8,1.04
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PS4,2014,9,0.75
Minecraft,Misc,PS4,2014,10,6.33
MLB 14 The Show,Sports,PS4,2014,5,0.73
Metal Gear Solid V: Ground Zeroes,Action-Adventure,PS4,2014,3,1.2
Pro Evolution Soccer 2015,Sports,PS4,2014,11,0.76
Middle-Earth: Shadow of Mordor,Action,XOne,2014,9,1.42
Lego Batman 3: Beyond Gotham,Action,PS4,2014,11,0.94
The LEGO Movie Videogame,Action-Adventure,PS4,2014,2,0.71
LEGO The Hobbit,Action-Adventure,PS4,2014,4,0.62
Chaos;Child,Visual Novel,XOne,2014,12,
Yakuza: Ishin,Adventure,PS4,2014,2,0.15
Puyo Puyo Tetris,Puzzle,XOne,2014,12,
Daylight,Misc,PS4,2014,4,
OlliOlli,Sports,PS4,2014,7,
Strider (2014),Platform,PS4,2014,2,
R.B.I. Baseball 14,Misc,PS4,2014,7,
R.B.I. Baseball 14,Misc,XOne,2014,7,
Nidhogg,Action,PS4,2014,10,
The Binding of Isaac: Rebirth,Action,PS4,2014,11,
Aban Hawkins & the 1001 Spikes,Misc,PS4,2014,6,
Legend of Raven,Misc,XOne,2014,1,
Legend of Raven,Misc,PS4,2014,1,
Ray's the Dead,Misc,PS4,2014,1,
Valiant Hearts: The Great War,Adventure,XOne,2014,6,
Assassin's Creed Freedom Cry,Misc,PS4,2014,2,
Valiant Hearts: The Great War,Misc,PS4,2014,6,
Tetris Ultimate,Puzzle,PS4,2014,12,
Tetris Ultimate,Puzzle,XOne,2014,12,
Child of Light,Role-Playing,XOne,2014,4,
Aaru's Awakening,Action,PS4,2014,10,
Tiny Troopers Joint Ops,Action,PS4,2014,11,
TowerFall,Misc,PS4,2014,3,
Fenix Rage,Misc,PS4,2014,10,
Monochroma,Misc,XOne,2014,7,
MouseCraft,Misc,PS4,2014,7,
Piggy Adventure,Misc,PS4,2014,4,
Pure Chess,Misc,PS4,2014,4,
SPORTSFRIENDS,Misc,PS4,2014,5,
LIMBO,Platform,XOne,2014,12,
Fez,Misc,PS4,2014,3,
Road Not Taken,Misc,PS4,2014,8,
Defense Grid 2,Misc,XOne,2014,9,
Defense Grid 2,Misc,PS4,2014,9,
Threes!,Puzzle,XOne,2014,12,
Werewolves vs Vampires,Misc,PS4,2014,4,
Sparkle 2,Puzzle,PS4,2014,5,
The Legend of Korra (2014),Action,XOne,2014,10,
The Legend of Korra (2014),Action,PS4,2014,10,
Trine Enchanted Edition,Action,PS4,2014,12,
Velocity 2X,Action,PS4,2014,9,
Nobunaga no Yabou: Souzou,Strategy,PS4,2014,2,0.06
Pier Solar and the Great Architects,Role-Playing,PS4,2014,9,
Pier Solar and the Great Architects,Role-Playing,XOne,2014,11,
Ready to Run,Misc,PS4,2014,7,
Tadeo Jones y el manuscrito perdido,Adventure,PS4,2014,10,
So Many Me,Puzzle,XOne,2014,7,
Outlast,Misc,PS4,2014,1,
Lara Croft and the Temple of Osiris,Action,XOne,2014,12,
Tomb Raider: Definitive Edition,Action,XOne,2014,1,
Pinball FX 2,Misc,XOne,2014,8,
Stick It to the Man,Misc,PS4,2014,5,
Never Alone,Misc,PS4,2014,11,
Never Alone,Misc,XOne,2014,11,
Chariot,Adventure,PS4,2014,9,
PIX the CAT,Action,PS4,2014,10,
Super Motherload,Misc,PS4,2014,1,
Octodad: Dadliest Catch,Misc,PS4,2014,4,
The Swapper,Misc,PS4,2014,6,
PixelJunk Shooter Ultimate,Shooter,PS4,2014,6,
Dust: An Elysian Tail,Platform,PS4,2014,10,
Mercenary Kings,Misc,PS4,2014,4,
Anomaly 2,Misc,PS4,2014,9,
Super Time Force,Misc,XOne,2014,5,
Tales from the Borderlands,Adventure,XOne,2014,11,
Tales from the Borderlands,Adventure,PS4,2014,12,
Backgammon Blitz,Misc,PS4,2014,4,
Loadout,Shooter,PS4,2014,12,
Cel Damage,Misc,PS4,2014,4,
Peggle 2,Puzzle,PS4,2014,10,
Worms Battlegrounds,Misc,PS4,2014,6,
Strike Suit Zero,Misc,PS4,2014,4,
Strike Suit Zero,Misc,XOne,2014,4,
Warframe,Action,XOne,2014,9,
Guacamelee!,Action,XOne,2014,7,
Guacamelee!,Action,PS4,2014,7,
Transistor,Role-Playing,PS4,2014,5,
Rogue Legacy,Action,PS4,2014,7,
Awesomenauts,Misc,PS4,2014,3,
Killer Instinct 2 Classic,Fighting,XOne,2014,9,
Dance Central Spotlight,Music,XOne,2014,9,
Kalimba,Platform,XOne,2014,12,
Voice Commander,Strategy,XOne,2014,10,
SteamWorld Dig: A Fistful of Dirt,Platform,PS4,2014,3,
The Last Tinker: City of Colors,Platform,PS4,2014,8,
Guardian Knight,Misc,PS4,2014,7,
Secret Ponchos,Misc,PS4,2014,12,
Raven's Cry,Role-Playing,XOne,2014,11,
Pure Pool,Misc,PS4,2014,12,
War Thunder,Misc,PS4,2014,6,
Oddworld: Abe's Oddysee New N' Tasty!,Misc,PS4,2014,7,
Geometry Wars 3: Dimensions,Shooter,XOne,2014,11,
Geometry Wars 3: Dimensions,Shooter,PS4,2014,11,
Back to Bed,Puzzle,XOne,2014,10,
Styx: Master of Shadows,Action,PS4,2014,10,
Styx: Master of Shadows,Action,XOne,2014,10,
Costume Quest 2,Role-Playing,XOne,2014,10,
Costume Quest 2,Role-Playing,PS4,2014,10,
Stealth Inc.,Misc,PS4,2014,3,
CounterSpy,Action,PS4,2014,8,
Entwined,Action,PS4,2014,6,
Hohokum,Adventure,PS4,2014,8,
The Unfinished Swan,Adventure,PS4,2014,10,
The Last of Us Remastered,Action-Adventure,PS4,2014,7,
inFAMOUS: Second Son,Action-Adventure,PS4,2014,3,
SingStar,Music,PS4,2014,10,
LittleBigPlanet 3,Platform,PS4,2014,11,
Driveclub,Racing,PS4,2014,10,
Dead Nation: Apocalypse Edition,Shooter,PS4,2014,3,
Spellforce Universe,Misc,XOne,2014,3,
Spellforce Universe,Misc,PS4,2014,3,
Middle-Earth: Shadow of Mordor,Action,PS4,2014,9,
Strider (2014),Platform,XOne,2014,2,0.0
Child of Light,Role-Playing,PS4,2014,4,0.05
Rabbids Invasion: The Interactive TV Show,Misc,PS4,2014,11,0.02
Rabbids Invasion: The Interactive TV Show,Misc,XOne,2014,11,0.01
Terraria,Action,XOne,2014,12,0.04
Teslagrad,Platform,PS4,2014,10,0.01
Warriors Orochi 3,Action,XOne,2014,9,0.04
Game of Thrones: A Telltale Games Series,Adventure,XOne,2014,12,0.04
Shadow Warrior (2013),Shooter,XOne,2014,10,0.04
InFAMOUS: First Light,Action,PS4,2014,8,0.03
Shape Up,Sports,XOne,2014,11,0.18
Terraria,Action,PS4,2014,12,0.07
Transformer: Rise of the Dark Spark,Shooter,XOne,2014,6,0.15
NAtURAL DOCtRINE,Role-Playing,PS4,2014,9,0.1
Murdered: Soul Suspect,Action-Adventure,XOne,2014,6,0.17
Lara Croft and the Temple of Osiris,Action,PS4,2014,12,0.09
The Walking Dead: Season One,Adventure,XOne,2014,10,0.16
The Walking Dead: Season Two,Misc,XOne,2014,10,0.14
The Wolf Among Us,Adventure,XOne,2014,11,0.09
Killer Instinct (2013),Fighting,XOne,2014,9,0.11
Sherlock Holmes: Crimes & Punishments,Adventure,XOne,2014,9,0.08
Tour de France 2014,Sports,PS4,2014,6,0.04
Pro Evolution Soccer 2015,Sports,XOne,2014,11,0.15
The Amazing Spider-Man 2 (2014),Action-Adventure,XOne,2014,4,0.22
Warriors Orochi 3,Action,PS4,2014,9,0.15
Guilty Gear Xrd: Sign,Fighting,PS4,2014,12,0.17
Sleeping Dogs: Definitive Edition,Action-Adventure,XOne,2014,10,0.2
Akiba's Trip: Undead & Undressed,Action,PS4,2014,11,0.13
NBA Live 15,Sports,XOne,2014,10,0.22
Shadow Warrior (2013),Shooter,PS4,2014,10,0.11
Project Spark,Misc,XOne,2014,10,0.17
Lords of the Fallen,Role-Playing,XOne,2014,10,0.22
Fantasia: Music Evolved,Music,XOne,2014,10,0.19
Metal Gear Solid V: Ground Zeroes,Action-Adventure,XOne,2014,3,0.27
